[00:00:30] Route 66,Team 1,Team 2,0,8
[00:00:30] morning,0,0,0,0,0,Coronet,0,0,0,0,0
[00:00:30] 30.69,morning,Ramattra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,450,450,Player Log
[00:00:31] Escort,31.66,False,0,0,MG Log
[00:00:31] 1,1,1,1,0,0,Information Log
[00:00:32] Escort,32.67,False,0,0,MG Log
[00:00:32] 1,1,1,1,0,0,Information Log
[00:00:33] Escort,33.68,False,0,0,MG Log
[00:00:33] 1,1,1,1,0,0,Information Log
[00:00:34] 34.67,Coronet,Lúcio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:00:34] Escort,34.69,False,0,0,MG Log
[00:00:34] 1,1,1,1,0,0,Information Log
[00:00:35] Escort,35.69,False,0,0,MG Log
[00:00:35] 1,1,1,1,0,0,Information Log
[00:00:36] Escort,36.70,False,0,0,MG Log
[00:00:36] 1,1,1,1,0,0,Information Log
[00:00:37] Escort,37.71,False,0,0,MG Log
[00:00:37] 1,1,1,1,0,0,Information Log
[00:00:38] 38.69,morning,Ramattra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5.83,450,450,Player Log
[00:00:38] Escort,38.72,False,0,0,MG Log
[00:00:38] 1,1,1,1,0,0,Information Log
[00:00:39] Escort,39.73,False,0,0,MG Log
[00:00:39] 1,1,1,1,0,0,Information Log
[00:00:40] Escort,40.74,False,-0.00,0,MG Log
[00:00:40] 1,1,1,1,0,0,Information Log
[00:00:41] Escort,41.74,False,-0.00,0,MG Log
[00:00:41] 1,1,1,1,0,0,Information Log
[00:00:42] 42.67,Coronet,Lúcio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,200,200,Player Log
[00:00:42] Escort,42.75,False,-0.00,0,MG Log
[00:00:42] 1,1,1,1,0,0,Information Log
[00:00:43] Escort,43.76,False,-0.00,0,MG Log
[00:00:43] 1,1,1,1,0,0,Information Log
[00:00:44] Escort,44.77,False,-0.00,0,MG Log
[00:00:44] 1,1,1,1,0,0,Information Log
[00:00:45] Escort,45.78,False,-0.00,0,MG Log
[00:00:45] 1,1,1,1,0,0,Information Log
[00:00:46] 46.69,morning,Ramattra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,450,450,Player Log
[00:00:46] Escort,46.78,False,-0.00,0,MG Log
[00:00:46] 1,1,1,1,0,0,Information Log
[00:00:47] Escort,47.79,False,-0.00,0,MG Log
[00:00:47] 1,1,1,1,0,0,Information Log
[00:00:48] Escort,48.80,False,-0.00,0,MG Log
[00:00:48] 1,1,1,1,0,0,Information Log
[00:00:49] Escort,49.81,False,-0.00,0,MG Log
[00:00:49] 1,1,1,1,0,0,Information Log
[00:00:50] 50.67,Coronet,Lúcio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,200,200,Player Log
