[00:01:12] Havana,DinnerTime,LeylineFirebird,0,8
[00:01:12] morning,Parallaxian,TOPSPEED,mobee01,Lex,0,Vulpie,Pocky,Dreamer,Raven,Snafucius,0
[00:01:13] 73.01,morning,Sigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,550,Player Log
[00:01:13] 73.79,Parallaxian,Hanzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,200,200,Player Log
[00:01:14] 74.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:15] 75.39,mobee01,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:16] 76.19,Lex,Ashe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,200,200,Player Log
[00:01:16] 76.99,Vulpie,Wrecking Ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,700,700,Player Log
[00:01:17] 77.79,Pocky,Widowmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,175,175,Player Log
[00:01:18] 78.59,Dreamer,Baptiste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:01:19] 79.39,Raven,Hanzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.03,0,200,200,Player Log
[00:01:20] 80.19,Snafucius,Zenyatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:01:20] Escort,80.97,False,0.47,0,MG Log
[00:01:20] 0,1,0,0,Information Log
[00:01:21] 81.01,morning,Sigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.18,550,550,Player Log
[00:01:21] 81.79,Parallaxian,Hanzo,0,0,0,93.25,0,0,0,0,0,0,0,0,0,0,0,2,0.26,6.34,137.95,200,Player Log
[00:01:22] 82.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,200,200,Player Log
[00:01:23] 83.39,mobee01,Ana,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,9,0,0,200,200,Player Log
[00:01:24] 84.19,Lex,Ashe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.33,200,200,Player Log
[00:01:24] 84.99,Vulpie,Wrecking Ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,700,700,Player Log
[00:01:25] 85.79,Pocky,Widowmaker,248.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,175,175,Player Log
[00:01:26] 86.59,Dreamer,Baptiste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,200,200,Player Log
[00:01:27] 87.39,Raven,Hanzo,0,0,0,88.66,0,0,0,0,0,0,0,0,0,0,0,4,1.03,0,200,200,Player Log
[00:01:28] 88.19,Snafucius,Zenyatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,200,200,Player Log
[00:01:28] Escort,88.97,False,4.24,0,MG Log
[00:01:28] 0,1,0,0,Information Log
[00:01:29] 89.01,morning,Sigma,0,0,87.00,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,550,550,Player Log
[00:01:29] 89.79,Parallaxian,Hanzo,88.66,0,0,248.02,0,0,0,0,0,0,0,0,0,0,0,10,4.88,0,197.86,200,Player Log
[00:01:30] 90.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,20.88,0,0,0,0,0,5,0,0,200,200,Player Log
[00:01:31] 91.39,mobee01,Ana,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,15,0,0,200,200,Player Log
[00:01:32] 92.19,Lex,Ashe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,200,200,Player Log
[00:01:32] 92.99,Vulpie,Wrecking Ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,700,700,Player Log
[00:01:33] 93.79,Pocky,Widowmaker,248.02,214.80,0,75,0,0,0,0,0,0,0,0,0,0,0,22,0,0,100,175,Player Log
[00:01:34] 94.59,Dreamer,Baptiste,0,0,0,0,0,0,0,0,0,88.66,0,0,0,0,0,10,0,0,200,200,Player Log
[00:01:35] 95.39,Raven,Hanzo,0,125,0,88.66,0,0,0,0,0,0,0,0,0,0,0,6,8.39,0,200,200,Player Log
[00:01:36] 96.19,Snafucius,Zenyatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,200,200,Player Log
[00:01:36] Escort,96.97,False,8.03,0,MG Log
[00:01:36] 0,1,0,0,Information Log
[00:01:37] 97.01,morning,Sigma,0,0,339.80,0,0,0,0,0,0,0,0,0,0,0,0,5,11.01,0,482.60,550,Player Log
[00:01:37] 97.79,Parallaxian,Hanzo,88.66,0,0,248.02,0,0,0,0,0,0,0,0,0,0,0,12,9.28,2.77,197.86,200,Player Log
[00:01:38] 98.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,20.88,0,0,0,0,0,8,0,0,200,200,Player Log
[00:01:39] 99.39,mobee01,Ana,75,0,0,0,0,0,0,0,0,225,0,0,0,0,0,20,0,0,200,200,Player Log
[00:01:40] 100.19,Lex,Ashe,22.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7.69,200,200,Player Log
[00:01:40] 100.99,Vulpie,Wrecking Ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,700,700,Player Log
[00:01:41] 101.79,Pocky,Widowmaker,248.02,214.80,0,128.09,0,0,0,0,0,0,0,0,0,0,0,25,0,0,121.91,175,Player Log
[00:01:42] 102.59,Dreamer,Baptiste,25,0,0,0,0,0,0,0,0,213.66,0,0,0,0,0,16,0,0,200,200,Player Log
[00:01:43] 103.38,FinalBlow,Parallaxian,Pocky,Ability 2
[00:01:43] 103.39,Raven,Hanzo,125,125,0,198.66,0,0,0,0,0,0,0,0,0,0,0,12,0.39,0,200,200,Player Log
[00:01:44] 104.19,Snafucius,Zenyatta,120,0,0,0,0,0,0,0,0,71.26,0,0,0,0,0,13,0,0,200,200,Player Log
[00:01:44] Escort,104.97,False,8.62,0,MG Log
[00:01:44] 0,1,0,0,Information Log
[00:01:45] 105.01,morning,Sigma,121.26,0,339.80,270,0,0,0,0,0,0,0,0,0,0,0,16,3.01,0,462.18,550,Player Log
