[00:01:44] King's Row,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,HOUSE,Coronet,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:01:44] 104.86,Geumeon,Ramattra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,450,450,Player Log
[00:01:45] 105.63,HOUSE,Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,Player Log
[00:01:46] 106.43,Coronet,Mei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,Player Log
[00:01:47] 107.23,RAT,Lúcio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:48] 108.03,ENIGMA,Baptiste,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,4,0,0,200,200,Player Log
[00:01:48] 108.83,Chappadoodle,Winston,0,0,0,23.86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,547.98,550,Player Log
[00:01:49] 109.63,Bunny,Hanzo,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7.99,0,200,200,Player Log
[00:01:50] 110.43,mmmatt,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,150,150,Player Log
[00:01:51] 111.23,Muttnik,Kiriko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:01:52] 112.03,LiamFox,Ana,0,0,0,1.44,0,0,0,0,0,31.51,0,0,0,0,0,2,0,0,200,200,Player Log
[00:01:52] Hybrid,112.82,False,0,0,0,MG Log
[00:01:52] 0,1,0,0,Information Log
[00:01:52] 112.86,Geumeon,Ramattra,53.56,0,0,234.15,0,0,0,0,0,0,0,0,0,0,0,4,0,3.54,428.51,450,Player Log
[00:01:53] 113.63,HOUSE,Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,225,225,Player Log
[00:01:54] 114.43,Coronet,Mei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,250,250,Player Log
[00:01:55] 115.23,RAT,Lúcio,0,0,0,0,0,0,0,0,0,20.74,0,0,0,0,0,2,0.13,0,200,200,Player Log
[00:01:56] 116.03,ENIGMA,Baptiste,0,0,0,0,0,0,0,0,0,213.41,0,0,0,0,0,8,0,0,200,200,Player Log
[00:01:56] 116.83,Chappadoodle,Winston,0,0,0,71.02,0,0,0,0,0,0,0,0,0,0,0,3,2.28,0,531.10,550,Player Log
[00:01:57] 117.63,Bunny,Hanzo,234.15,200.56,0,13.50,0,0,0,0,0,0,0,0,0,0,0,13,0,0,186.50,200,Player Log
[00:01:58] 118.43,mmmatt,Tracer,43.37,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,150,150,Player Log
[00:01:59] 119.23,Muttnik,Kiriko,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.41,0,200,200,Player Log
[00:02:00] 120.03,LiamFox,Ana,52.50,0,0,18.48,0,0,0,0,0,72.46,0,0,0,0,0,7,0,0,182.96,200,Player Log
[00:02:00] Hybrid,120.82,False,0,0,0,MG Log
[00:02:00] 0,1,0,0,Information Log
[00:02:00] 120.86,Geumeon,Ramattra,145.00,0,386.67,399.88,0,0,0,0,0,0,0,0,0,0,0,10,0,9.32,546.71,675,Player Log
[00:02:01] 121.63,HOUSE,Cassidy,98.70,0,0,314.32,0,0,0,0,0,0,0,0,0,0,0,8,4.32,9.12,158.44,225,Player Log
[00:02:02] 122.43,Coronet,Mei,31.50,0,0,192.12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,155.83,250,Player Log
[00:02:03] 123.23,RAT,Lúcio,0,0,0,92.40,0,0,0,0,0,260.70,0,0,0,0,0,12,0,0,183.44,200,Player Log
[00:02:04] 124.03,ENIGMA,Baptiste,0,0,0,25.20,0,0,0,0,0,547.05,0,0,0,0,0,24,0,0,174.80,200,Player Log
[00:02:04] 124.83,Chappadoodle,Winston,340.90,68.16,520,771.31,0,0,0,0,0,0,0,0,0,0,0,22,4.81,10.32,122.71,550,Player Log
[00:02:05] 125.63,Bunny,Hanzo,519.10,306.96,0,17.82,0,0,0,0,0,0,0,0,0,0,0,32,5.25,5.84,182.18,200,Player Log
[00:02:06] 126.43,mmmatt,Tracer,178.43,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,150,150,Player Log
[00:02:07] 127.23,Muttnik,Kiriko,240,0,0,0,0,0,0,0,0,260,0,0,0,0,0,23,0,0,200,200,Player Log
[00:02:08] 128.03,LiamFox,Ana,202.50,0,0,18.48,0,0,0,0,0,374.50,0,0,0,0,0,26,0,6.06,200,200,Player Log
[00:02:08] Hybrid,128.82,False,0,0,0,MG Log
[00:02:08] 0,1,0,0,Information Log
[00:02:08] 128.86,Geumeon,Ramattra,593.41,180,386.67,492.49,0,0,0,0,0,0,0,0,0,0,0,29,7.18,1.32,417.87,450,Player Log
[00:02:09] 129.49,FinalBlow,RAT,Chappadoodle,Primary Fire
[00:02:09] 129.63,HOUSE,Cassidy,228.70,320,0,376.58,0,0,0,0,0,0,0,0,0,0,0,15,0,1.12,225,225,Player Log
[00:02:10] 130.43,Coronet,Mei,346.50,35,0,541.80,0,1,0,0,0,0,0,0,0,0,0,21,0,3.39,176.50,250,Player Log
[00:02:11] 131.23,RAT,Lúcio,160.71,115,0,123.16,0,1,1,0,0,529.53,0,0,0,0,0,28,0,5.87,200,200,Player Log
[00:02:11] 131.39,FinalBlow,Bunny,ENIGMA,Primary Fire
[00:02:12] 132.03,ENIGMA,Baptiste,0,0,0,445.07,1,0,0,0,0,1176.49,0,0,0,0,0,51,8.45,0,0,200,Player Log
[00:02:12] 132.83,Chappadoodle,Winston,424.50,68.16,650,1282.02,1,0,0,0,0,0,0,0,0,0,0,28,0,2.32,0,550,Player Log
[00:02:13] 133.63,Bunny,Hanzo,818.66,306.96,0,17.82,0,1,1,0,0,0,0,0,0,0,0,52,0,0,182.18,200,Player Log
[00:02:14] 134.43,mmmatt,Tracer,455.83,11.55,0,25,0,1,0,0,0,0,0,0,0,0,0,47,0,0,150,150,Player Log
[00:02:15] 135.23,Muttnik,Kiriko,400,0,0,71,0,0,0,0,0,350.40,0,0,0,0,0,33,4.36,11.24,200,200,Player Log
[00:02:16] 136.03,LiamFox,Ana,207.50,67.20,0,38.48,0,0,0,0,0,491.10,0,0,0,0,0,31,7.37,0,200,200,Player Log
[00:02:16] Hybrid,136.82,False,0,0,0,MG Log
[00:02:16] 0,1,0,0,Information Log
[00:02:16] 136.86,Geumeon,Ramattra,651.91,180,616.27,617.49,0,1,0,0,0,0,0,0,0,0,0,34,0,0,373.01,450,Player Log
[00:02:17] 137.63,HOUSE,Cassidy,329.70,320,0,503.88,0,0,0,0,0,0,0,0,0,0,0,22,0,4.04,193.18,225,Player Log
[00:02:18] 138.43,Coronet,Mei,346.50,35,0,818.43,0,1,0,0,0,92.72,0,0,0,0,0,28,10.70,0,163.37,250,Player Log
[00:02:19] 139.23,RAT,Lúcio,205.71,115,0,128.66,0,1,1,0,0,743.67,0,0,0,0,0,40,0.18,0,200,200,Player Log
[00:02:20] 140.03,ENIGMA,Baptiste,0,0,0,445.07,1,0,0,0,0,1176.49,0,0,0,0,0,53,0.45,0,0,200,Player Log
[00:02:20] 140.83,Chappadoodle,Winston,424.50,68.16,650,1282.02,1,0,0,0,0,0,0,0,0,0,0,30,4.33,0,550,550,Player Log
[00:02:21] 141.63,Bunny,Hanzo,948.66,371.96,0,181.58,0,1,1,0,0,0,0,0,0,0,0,63,6.07,3.34,18.42,200,Player Log
[00:02:22] 142.43,mmmatt,Tracer,492.87,11.55,0,131.50,0,1,0,0,0,0,0,0,0,0,0,53,0,0,150,150,Player Log
[00:02:23] 143.23,Muttnik,Kiriko,440,120,0,91,0,0,0,0,0,408.66,0,0,0,0,0,38,0,3.24,200,200,Player Log
[00:02:24] 144.03,LiamFox,Ana,207.50,150,0,38.48,0,0,0,0,0,561.74,0,0,0,0,0,38,0,0,200,200,Player Log
[00:02:24] Hybrid,144.82,False,0,0,0,MG Log
[00:02:24] 0,1,0,0,Information Log
[00:02:24] 144.86,Geumeon,Ramattra,702.67,180,721.67,617.49,0,1,0,0,0,0,0,0,0,0,0,38,0,6.85,450,450,Player Log
[00:02:25] 145.63,HOUSE,Cassidy,469.70,320,0,503.88,0,0,0,0,0,0,0,0,0,0,0,32,0,0,225,225,Player Log
[00:02:26] 146.43,Coronet,Mei,346.50,35,0,818.43,0,1,0,0,0,92.72,0,0,0,0,0,30,2.70,0,231.47,250,Player Log
[00:02:27] 147.23,RAT,Lúcio,205.71,115,0,128.66,0,1,1,0,0,875.78,0,0,0,0,0,46,0,0,200,200,Player Log
[00:02:28] 148.03,ENIGMA,Baptiste,0,0,0,445.07,1,0,0,0,0,1176.49,0,0,0,0,0,55,0,0,200,200,Player Log
[00:02:28] 148.83,Chappadoodle,Winston,424.50,68.16,650,1282.02,1,0,0,0,0,0,0,0,0,0,0,32,0,0,550,550,Player Log
[00:02:29] 149.63,Bunny,Hanzo,1041.86,371.96,0,201.58,0,1,1,0,0,0,0,0,0,0,0,70,0,0,180,200,Player Log
[00:02:30] 150.43,mmmatt,Tracer,492.87,11.55,0,131.50,0,1,0,0,0,0,0,0,0,0,0,56,0,0,150,150,Player Log
[00:02:31] 151.23,Muttnik,Kiriko,440,120,0,91,0,0,0,0,0,408.66,0,0,0,0,0,39,2.27,0,200,200,Player Log
[00:02:32] 152.03,LiamFox,Ana,329.90,150,0,98.48,0,0,0,0,0,785.64,0,0,0,0,0,54,0,9.56,164.72,200,Player Log
[00:02:32] 152.41,FinalBlow,Chappadoodle,RAT,Primary Fire
[00:02:32] Hybrid,152.82,False,5.54,0,0,MG Log
[00:02:32] 0,1,0,0,Information Log
[00:02:32] 152.86,Geumeon,Ramattra,702.67,180,721.67,795.65,0,1,0,0,0,0,0,0,0,0,0,41,0,0,548.30,675,Player Log
[00:02:33] 153.63,HOUSE,Cassidy,575.17,470,0,694.36,0,0,0,0,0,0,0,0,0,0,0,40,4.34,8.77,65,225,Player Log
[00:02:34] 154.43,Coronet,Mei,346.50,35,14.85,1066.67,0,1,0,0,0,128.82,0,0,0,0,0,35,10.55,0,44.67,250,Player Log
[00:02:35] 155.18,FinalBlow,Chappadoodle,Coronet,Primary Fire
[00:02:35] 155.23,RAT,Lúcio,285.71,115,0,342.62,1,1,1,0,0,1038.54,0,0,0,0,0,57,0,0,0,200,Player Log
[00:02:36] 156.03,ENIGMA,Baptiste,0,0,0,445.07,1,0,0,0,0,1176.49,0,0,0,0,0,56,0,0,200,200,Player Log
[00:02:36] 156.08,FinalBlow,LiamFox,HOUSE,Primary Fire
[00:02:36] 156.83,Chappadoodle,Winston,734.19,68.16,868.79,1282.02,1,3,2,0,0,0,0,0,0,0,0,49,0,6.15,550,550,Player Log
[00:02:37] 157.29,FinalBlow,Chappadoodle,Geumeon,Primary Fire
[00:02:37] 157.63,Bunny,Hanzo,1610.99,371.96,0,380.21,0,5,1,0,0,0,0,0,1,0,0,100,9.51,5.06,175.37,200,Player Log
[00:02:38] 158.43,mmmatt,Tracer,673.25,26.40,0,131.50,0,3,0,0,0,0,0,0,0,0,0,69,0,0,150,150,Player Log
[00:02:39] 159.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,577.30,0,0,0,0,0,51,0,9.09,71.60,200,Player Log
[00:02:40] 160.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,967.39,0,0,0,0,0,65,8.74,1.57,200,200,Player Log
[00:02:40] Hybrid,160.82,False,15.27,0,0,MG Log
[00:02:40] 0,1,0,0,Information Log
[00:02:40] 160.86,Geumeon,Ramattra,1002.67,180,721.67,1343.95,1,1,0,0,0,0,0,0,0,0,0,59,0,0,0,450,Player Log
[00:02:41] 161.63,HOUSE,Cassidy,575.17,470,0,789.36,1,0,0,0,0,0,0,0,0,0,0,42,0,0.77,0,225,Player Log
[00:02:42] 162.43,Coronet,Mei,346.50,35,14.85,1122.86,1,1,0,0,0,128.82,0,0,0,0,0,37,2.55,0,0,250,Player Log
[00:02:43] 163.23,RAT,Lúcio,285.71,115,0,342.62,1,1,1,0,0,1038.54,0,0,0,0,0,59,0,0,200,200,Player Log
[00:02:44] 164.03,ENIGMA,Baptiste,0,293.79,0,445.07,1,0,0,0,0,1176.49,0,0,0,0,0,58,0,0,200,200,Player Log
[00:02:44] 164.83,Chappadoodle,Winston,749.61,68.16,1093.79,1282.02,1,4,3,0,0,0,0,0,0,0,0,52,0,0,550,550,Player Log
[00:02:45] 165.63,Bunny,Hanzo,1610.99,371.96,0,380.21,0,5,1,0,0,0,0,0,1,0,0,100,1.51,0,200,200,Player Log
[00:02:46] 166.43,mmmatt,Tracer,673.25,26.40,0,131.50,0,3,0,0,0,0,0,0,0,0,0,72,0,0,150,150,Player Log
[00:02:47] 167.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,667.66,0,0,0,0,0,53,0,1.09,200,200,Player Log
[00:02:48] 168.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,967.39,0,0,0,0,0,67,0.74,0,200,200,Player Log
[00:02:48] Hybrid,168.82,False,53.42,0,0,MG Log
[00:02:48] 0,1,0,0,Information Log
[00:02:48] 168.86,Geumeon,Ramattra,1002.67,180,721.67,1343.95,1,1,0,0,0,0,0,0,0,0,0,61,0,0,450,450,Player Log
[00:02:49] 169.63,HOUSE,Cassidy,575.17,470,0,789.36,1,0,0,0,0,0,0,0,0,0,0,44,5.31,0,225,225,Player Log
[00:02:50] 170.43,Coronet,Mei,346.50,35,14.85,1122.86,1,1,0,0,0,128.82,0,0,0,0,0,39,0,0,250,250,Player Log
[00:02:51] 171.23,RAT,Lúcio,285.71,115,0,342.62,1,1,1,0,0,1038.54,0,0,0,0,0,60,0,0,200,200,Player Log
[00:02:52] 172.03,ENIGMA,Baptiste,0,293.79,0,445.07,1,0,0,0,0,1176.49,0,0,0,0,0,60,0,0,200,200,Player Log
[00:02:52] 172.83,Chappadoodle,Winston,749.61,68.16,1093.79,1282.02,1,4,3,0,0,0,0,0,0,0,0,54,0.94,0,550,550,Player Log
[00:02:53] 173.63,Bunny,Hanzo,1610.99,371.96,0,380.21,0,5,1,0,0,0,0,0,1,0,0,100,5.78,0,200,200,Player Log
[00:02:54] 174.43,mmmatt,Tracer,673.25,26.40,0,131.50,0,3,0,0,0,0,0,0,0,0,0,76,0,0,150,150,Player Log
[00:02:55] 175.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,667.66,0,0,0,0,0,54,0,0,200,200,Player Log
[00:02:56] 176.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,967.39,0,0,0,0,0,69,0,0,200,200,Player Log
[00:02:56] Hybrid,176.82,False,91.54,0,0,MG Log
[00:02:56] 0,1,0,0,Information Log
[00:02:56] 176.86,Geumeon,Ramattra,1002.67,180,721.67,1343.95,1,1,0,0,0,0,0,0,0,0,0,63,0,0,450,450,Player Log
[00:02:57] 177.63,HOUSE,Cassidy,575.17,470,0,789.36,1,0,0,0,0,0,0,0,0,0,0,46,0,0,225,225,Player Log
[00:02:58] 178.43,Coronet,Mei,421.50,35,14.85,1122.86,1,1,0,0,0,128.82,0,0,0,0,0,46,0,0,250,250,Player Log
[00:02:59] 179.23,RAT,Lúcio,305.71,115,0,342.62,1,1,1,0,0,1045.71,0,0,0,0,0,63,0,0,200,200,Player Log
[00:03:00] 180.03,ENIGMA,Baptiste,7.50,293.79,0,445.07,1,0,0,0,0,1273.52,0,0,0,0,0,65,0,0,200,200,Player Log
[00:03:00] 180.83,Chappadoodle,Winston,749.61,68.16,1093.79,1325.33,1,4,3,0,0,0,0,0,0,0,0,56,0,0,506.69,550,Player Log
[00:03:01] 181.63,Bunny,Hanzo,1715.19,584.63,0,542.71,0,5,1,0,0,0,0,0,1,0,0,100,0,0,187.50,200,Player Log
[00:03:02] 182.43,mmmatt,Tracer,673.25,26.40,0,131.50,0,3,0,0,0,0,0,0,0,0,0,79,0,0,150,150,Player Log
[00:03:03] 183.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,667.66,0,0,0,0,0,56,0,0,200,200,Player Log
[00:03:04] 184.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,1342.39,0,0,0,0,0,86,0,0,200,200,Player Log
[00:03:04] Hybrid,184.82,False,0,0,1,MG Log
[00:03:04] 0,1,0,1,Information Log
[00:03:04] 184.86,Geumeon,Ramattra,1119.22,180,934.34,1561.15,1,1,0,0,0,0,0,0,0,0,0,69,0,5.99,450,450,Player Log
[00:03:05] 185.63,HOUSE,Cassidy,780.48,470,0,789.36,1,0,0,0,0,0,0,0,0,0,0,56,0,0,167.06,225,Player Log
[00:03:06] 186.43,Coronet,Mei,421.50,35,14.85,1126.67,1,1,0,0,0,128.82,0,0,0,0,0,48,0,0,200,250,Player Log
[00:03:07] 187.23,RAT,Lúcio,427.71,115,0,342.62,1,1,1,0,0,1081.77,0,0,0,0,0,71,0,0,200,200,Player Log
[00:03:08] 188.03,ENIGMA,Baptiste,112.30,293.79,0,448.66,1,0,0,0,0,1468.35,0,0,0,0,0,77,0,0,200,200,Player Log
[00:03:08] 188.83,Chappadoodle,Winston,838.13,68.16,1093.79,1750.68,1,4,3,0,0,0,0,0,0,0,0,63,0,0,550,550,Player Log
[00:03:09] 189.63,Bunny,Hanzo,2023.19,584.63,0,562.71,0,5,1,0,0,0,0,0,1,0,0,100,6.69,7.76,200,200,Player Log
[00:03:10] 190.43,mmmatt,Tracer,796.15,26.40,0,206.50,0,3,0,0,0,0,0,0,0,0,0,92,0,0,127,150,Player Log
[00:03:11] 191.23,Muttnik,Kiriko,536,120,0,271,0,1,0,0,0,742.66,0,0,0,0,0,61,0,0,200,200,Player Log
[00:03:12] 192.03,LiamFox,Ana,474,150,0,145.32,0,4,1,0,0,1618.55,0,0,0,0,0,97,0,0,200,200,Player Log
