[00:03:14] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:03:14] Geumeon,Apollo,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:03:14] 194.59,Geumeon,Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,550,Player Log
[00:03:15] 195.38,Apollo,Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,Player Log
[00:03:16] 196.18,HOUSE,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,Player Log
[00:03:16] 196.98,RAT,Brigitte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:03:17] 197.77,ENIGMA,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:03:18] 198.58,Chappadoodle,D.Va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.45,0,650,650,Player Log
[00:03:19] 199.38,Bunny,Sombra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:03:20] 200.18,mmmatt,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,150,150,Player Log
[00:03:20] 200.98,Muttnik,Zenyatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:03:21] 201.77,LiamFox,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:03:22] Hybrid,202.56,False,0,0,0,MG Log
[00:03:22] 0,1,0,0,Information Log
[00:03:22] 202.59,Geumeon,Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,550,550,Player Log
[00:03:23] 203.38,Apollo,Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,225,225,Player Log
[00:03:24] 204.18,HOUSE,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,150,150,Player Log
[00:03:24] 204.98,RAT,Brigitte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
