[00:01:45] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:01:45] Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0,Geumeon,Apollo,HOUSE,RAT,ENIGMA,0
[00:01:45] 105.30,Chappadoodle,D.Va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,650,650,Player Log
[00:01:46] 106.06,Bunny,Hanzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,200,200,Player Log
[00:01:46] 106.86,mmmatt,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,Player Log
[00:01:47] 107.66,Muttnik,Zenyatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:48] 108.46,LiamFox,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:49] 109.26,Geumeon,Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.79,0,550,550,Player Log
[00:01:50] 110.06,Apollo,Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.25,0,225,225,Player Log
[00:01:50] 110.86,HOUSE,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,150,150,Player Log
[00:01:51] 111.66,RAT,Brigitte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:01:52] 112.46,ENIGMA,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:01:53] Hybrid,113.25,False,0,0,0,MG Log
[00:01:53] 0,1,0,0,Information Log
[00:01:53] 113.29,Chappadoodle,D.Va,4.80,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,2,0,0,643.07,650,Player Log
[00:01:54] 114.06,Bunny,Hanzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.36,0,200,200,Player Log
[00:01:54] 114.86,mmmatt,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,150,150,Player Log
[00:01:55] 115.66,Muttnik,Zenyatta,33.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,200,200,Player Log
[00:01:56] 116.46,LiamFox,Ana,59.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,200,200,Player Log
[00:01:57] 117.26,Geumeon,Winston,0,0,0,139.44,0,0,0,0,0,0,0,0,0,0,0,3,2.67,0,410.56,550,Player Log
[00:01:58] 118.06,Apollo,Cassidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,225,225,Player Log
[00:01:58] 118.86,HOUSE,Tracer,6.93,0,0,4.80,0,0,0,0,0,0,0,0,0,0,0,5,0,0,145.20,150,Player Log
[00:01:59] 119.66,RAT,Brigitte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,200,200,Player Log
[00:02:00] 120.46,ENIGMA,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,200,200,Player Log
[00:02:01] Hybrid,121.25,False,0,0,0,MG Log
[00:02:01] 0,1,0,0,Information Log
[00:02:01] 121.29,Chappadoodle,D.Va,8.50,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,5,0,0,643.07,650,Player Log
[00:02:02] 122.06,Bunny,Hanzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.92,0,200,200,Player Log
[00:02:02] 122.86,mmmatt,Tracer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,150,150,Player Log
[00:02:03] 123.66,Muttnik,Zenyatta,33.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,200,200,Player Log
[00:02:04] 124.46,LiamFox,Ana,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,200,200,Player Log
[00:02:05] 125.26,Geumeon,Winston,0,0,0,141.54,0,0,0,0,0,0,0,0,0,0,0,5,4.74,0,548.74,550,Player Log
[00:02:06] 126.06,Apollo,Cassidy,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,225,225,Player Log
[00:02:06] 126.86,HOUSE,Tracer,127.03,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,15,0,0,144.44,150,Player Log
[00:02:07] 127.66,RAT,Brigitte,0,0,0,0,0,0,0,0,0,125.74,0,0,0,0,0,8,0,0,200,200,Player Log
[00:02:08] 128.46,ENIGMA,Ana,120.96,0,0,0,0,0,0,0,0,60,0,0,0,0,0,11,0,9.02,200,200,Player Log
[00:02:09] Hybrid,129.25,False,0,0,0,MG Log
[00:02:09] 0,1,0,0,Information Log
[00:02:09] 129.29,Chappadoodle,D.Va,215.80,0,92,493.02,0,0,0,0,0,0,0,0,0,0,0,17,2.21,0,154.58,650,Player Log
[00:02:10] 130.06,Bunny,Hanzo,0,95.40,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,200,200,Player Log
[00:02:10] 130.86,mmmatt,Tracer,14.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,150,150,Player Log
[00:02:11] 131.66,Muttnik,Zenyatta,33.60,0,0,0,0,0,0,0,0,9.60,0,0,0,0,0,7,0,0,200,200,Player Log
[00:02:12] 132.46,LiamFox,Ana,147,60,0,0,0,0,0,0,0,227.40,0,0,0,0,0,21,0,5.08,200,200,Player Log
[00:02:13] 133.26,Geumeon,Winston,208.01,0,0,362.99,0,0,0,0,0,0,0,0,0,0,0,15,0,0,528.55,550,Player Log
[00:02:14] 134.06,Apollo,Cassidy,195.73,0,0,97.60,0,0,0,0,0,0,0,0,0,0,0,14,0,0,225,225,Player Log
[00:02:14] 134.86,HOUSE,Tracer,237.30,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,24,0,0,144.44,150,Player Log
