[00:01:44] Lijiang Tower,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,Coronet,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:01:44] 104.93,Geumeon,Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,550,Player Log
[00:01:45] 105.69,Coronet,Sombra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:46] 106.50,HOUSE,Reaper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,Player Log
[00:01:47] 107.29,RAT,Lúcio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:48] 108.10,ENIGMA,Kiriko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,Player Log
[00:01:48] 108.89,Chappadoodle,Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.33,0,550,550,Player Log
[00:01:49] 109.69,Bunny,Sombra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.03,200,200,Player Log
[00:01:50] 110.50,mmmatt,Reaper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.74,250,250,Player Log
[00:01:51] 111.29,Muttnik,Lúcio,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9.31,200,200,Player Log
[00:01:52] 112.10,LiamFox,Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,200,Player Log
[00:01:52] Control,112.88,0,0,True,All Teams,0,MG Log
[00:01:52] 0,1,0,0,Information Log
[00:01:52] 112.93,Geumeon,Winston,0,0,0,34.80,0,0,0,0,0,0,0,0,0,0,0,2,0,0,515.20,550,Player Log
[00:01:53] 113.69,Coronet,Sombra,37.03,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,3.70,0.63,180,200,Player Log
[00:01:54] 114.50,HOUSE,Reaper,79.49,0,0,1.62,0,0,0,0,0,1.62,0,0,0,0,1.62,8,0,3.52,250,250,Player Log
[00:01:55] 115.29,RAT,Lúcio,128,0,0,20,0,0,0,0,0,20,0,0,0,0,0,7,0.19,5.63,200,200,Player Log
[00:01:55] 115.52,FinalBlow,RAT,Chappadoodle,Primary Fire
[00:01:56] 116.10,ENIGMA,Kiriko,0,0,0,0,0,0,0,0,0,196.92,0,0,0,0,0,8,0,0,200,200,Player Log
[00:01:56] 116.89,Chappadoodle,Winston,47.04,0,180.24,646.76,1,0,0,0,0,0,0,0,0,0,0,5,0,10.63,0,550,Player Log
[00:01:57] 117.69,Bunny,Sombra,99.75,271.40,0,7.50,0,0,0,0,0,0,0,0,0,0,0,9,1.69,0,171.72,200,Player Log
[00:01:58] 118.50,mmmatt,Reaper,151.45,318.60,0,365.50,0,0,0,0,0,47.67,0,0,0,0,359.73,8,0,0,214.28,250,Player Log
[00:01:59] 119.29,Muttnik,Lúcio,110,60,0,5.40,0,0,0,0,0,72.96,0,0,0,0,0,9,0,1.31,194.60,200,Player Log
[00:02:00] 120.10,LiamFox,Ana,176.94,0,0,0,0,0,0,0,0,369.30,0,0,0,0,0,26,0,6.28,200,200,Player Log
[00:02:00] Control,120.88,0,0,True,All Teams,0,MG Log
[00:02:00] 0,1,0,0,Information Log
